Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Lung metastasectomy for postoperative colorectal cancer in patients with a history of hepatic metastasis.","/pubmed/24505023","Kamiyoshihara M, Igai H, Kawatani N, Ibe T, Tomizawa N, Obayashi K, Shimizu K, Takeyoshi I.","Gen Thorac Cardiovasc Surg. 2014 May;62(5):314-20. doi: 10.1007/s11748-014-0376-z. Epub 2014 Feb 8.","Gen Thorac Cardiovasc Surg.  2014","PubMed","citation","PMID:24505023","pubmed","24505023","create date:2014/02/08 | first author:Kamiyoshihara M",
"Carcinoid tumours in a tertiary hospital in northern Nigeria: morphological pattern and review of the literature.","/pubmed/24488278","Mohammed U, Iliyasu Y, Ahmed SA, Shehu MS.","West Afr J Med. 2013 Oct-Dec;32(4):254-6. Review. English, French. ","West Afr J Med.  2013","PubMed","citation","PMID:24488278","pubmed","24488278","create date:2014/02/04 | first author:Mohammed U",
"A clinical study of metastasized rectal cancer treatment: assessing a multimodal approach.","/pubmed/24477647","Jung M, Holmqvist A, Sun XF, Albertsson M.","Med Oncol. 2014 Mar;31(3):839. doi: 10.1007/s12032-014-0839-1. Epub 2014 Jan 30.","Med Oncol.  2014","PubMed","citation","PMID:24477647 | PMCID:PMC3933738","pubmed","24477647","create date:2014/01/31 | first author:Jung M",
"Recurrence location after resection of colorectal liver metastases influences prognosis.","/pubmed/24474631","Govaert KM, van Kessel CS, Steller EJ, Emmink BL, Molenaar IQ, Kranenburg O, van Hillegersberg R, Borel Rinkes IH.","J Gastrointest Surg. 2014 May;18(5):952-60. doi: 10.1007/s11605-014-2461-0. Epub 2014 Jan 29.","J Gastrointest Surg.  2014","PubMed","citation","PMID:24474631","pubmed","24474631","create date:2014/01/30 | first author:Govaert KM",
"Ezrin expression and cell survival regulation in colorectal cancer.","/pubmed/24462708","Leiphrakpam PD, Rajput A, Mathiesen M, Agarwal E, Lazenby AJ, Are C, Brattain MG, Chowdhury S.","Cell Signal. 2014 May;26(5):868-79. doi: 10.1016/j.cellsig.2014.01.014. Epub 2014 Jan 22.","Cell Signal.  2014","PubMed","citation","PMID:24462708 | PMCID:PMC3974425","pubmed","24462708","create date:2014/01/28 | first author:Leiphrakpam PD",
"Size of metastatic deposits affects prognosis in patients undergoing pulmonary metastectomy for colorectal cancer.","/pubmed/24417827","Javed MA, Sheel AR, Sheikh AA, Page RD, Rooney PS.","Ann R Coll Surg Engl. 2014 Jan;96(1):32-6. doi: 10.1308/003588414X13824511650371.","Ann R Coll Surg Engl.  2014","PubMed","citation","PMID:24417827 | PMCID:PMC5137658","pubmed","24417827","create date:2014/01/15 | first author:Javed MA",
"Prognostic factors associated with primary cancer in curatively resected stage IV colorectal cancer.","/pubmed/24414039","Huh JW, Lee WY, Park YA, Cho YB, Yun SH, Kim HC, Chun HK.","J Cancer Res Clin Oncol. 2014 Mar;140(3):435-41. doi: 10.1007/s00432-013-1580-4. Epub 2014 Jan 12.","J Cancer Res Clin Oncol.  2014","PubMed","citation","PMID:24414039","pubmed","24414039","create date:2014/01/15 | first author:Huh JW",
"Assessment of the value of MRI scan in addition to CT in the pre-operative staging of colorectal liver metastases.","/pubmed/24408271","Wiggans MG, Shahtahmassebi G, Aroori S, Bowles MJ, Jackson SA, Stell DA.","J Gastrointest Cancer. 2014 Jun;45(2):146-53. doi: 10.1007/s12029-013-9569-4.","J Gastrointest Cancer.  2014","PubMed","citation","PMID:24408271","pubmed","24408271","create date:2014/01/11 | first author:Wiggans MG",
"Comparative analysis of the incidence of surgical site infections in patients with liver resection for colorectal hepatic metastases after neoadjuvant chemotherapy.","/pubmed/24398304","Scilletta R, Pagano D, Spada M, Mongiovì S, Pesce A, Portale TR, Guardabasso V, Puleo S, Gruttadauria S.","J Surg Res. 2014 May 1;188(1):183-9. doi: 10.1016/j.jss.2013.11.1092. Epub 2013 Nov 22.","J Surg Res.  2014","PubMed","citation","PMID:24398304","pubmed","24398304","create date:2014/01/09 | first author:Scilletta R",
"[A case of rectal endocrine cell carcinoma treated by laparoscopic assisted intersphincteric resection after neoadjuvant chemotherapy].","/pubmed/24394001","Wakatsuki K, Yoshioka S, Shiobara M, Kataoka M, Arai S, Tonooka T, Miyazawa K, Oeda Y.","Gan To Kagaku Ryoho. 2013 Nov;40(12):2026-8. Japanese. ","Gan To Kagaku Ryoho.  2013","PubMed","citation","PMID:24394001","pubmed","24394001","create date:2014/01/08 | first author:Wakatsuki K",
"[Recurrent rectal cancer with multiple liver and lung metastases treated effectively with oxaliplatin and capecitabine plus bevacizumab chemotherapy-a case report].","/pubmed/24393938","Yabe N, Murai S, Shimizu H, Kitasato K, Yoshikawa T, Oto I, Nakadai J, Hasegawa H, Kitagawa Y.","Gan To Kagaku Ryoho. 2013 Nov;40(12):1834-6. Japanese. ","Gan To Kagaku Ryoho.  2013","PubMed","citation","PMID:24393938","pubmed","24393938","create date:2014/01/08 | first author:Yabe N",
"[Treatment strategy for patients with multiple liver metastases of colorectal origin in the era of adjuvant chemotherapy].","/pubmed/24393880","Seyama Y, Matsuda M, Nishikawa T, Tani K, Inada K, Nasu K, Wada I, Maeshiro T, Miyamoto S, Umekita N.","Gan To Kagaku Ryoho. 2013 Nov;40(12):1659-61. Japanese. ","Gan To Kagaku Ryoho.  2013","PubMed","citation","PMID:24393880","pubmed","24393880","create date:2014/01/08 | first author:Seyama Y",
"Patterns of recurrence after liver transplantation for nonresectable liver metastases from colorectal cancer.","/pubmed/24370906","Hagness M, Foss A, Egge TS, Dueland S.","Ann Surg Oncol. 2014 Apr;21(4):1323-9. doi: 10.1245/s10434-013-3449-9. Epub 2013 Dec 27.","Ann Surg Oncol.  2014","PubMed","citation","PMID:24370906 | PMCID:PMC3942624","pubmed","24370906","create date:2013/12/29 | first author:Hagness M",
"Prognostic comparison between number and distribution of lymph node metastases in patients with right-sided colon cancer.","/pubmed/24366417","Kim CH, Huh JW, Kim HR, Kim YJ.","Ann Surg Oncol. 2014 Apr;21(4):1361-8. doi: 10.1245/s10434-013-3426-3. Epub 2013 Dec 24.","Ann Surg Oncol.  2014","PubMed","citation","PMID:24366417","pubmed","24366417","create date:2013/12/25 | first author:Kim CH",
"Defining indications to ALPPS procedure: technical aspects and open issues.","/pubmed/24343420","Ratti F, Cipriani F, Gagliano A, Catena M, Paganelli M, Aldrighetti L.","Updates Surg. 2014 Mar;66(1):41-9. doi: 10.1007/s13304-013-0243-y. Epub 2013 Dec 17.","Updates Surg.  2014","PubMed","citation","PMID:24343420","pubmed","24343420","create date:2013/12/18 | first author:Ratti F",
"Hepatic resection of non-colorectal and non-neuroendocrine liver metastases - survival benefit for patients with non-gastrointestinal primary cancers - a case-controlled study.","/pubmed/24342081","Slotta JE, Schuld J, Distler S, Richter S, Schilling MK, Kollmar O.","Int J Surg. 2014;12(2):163-8. doi: 10.1016/j.ijsu.2013.12.002. Epub 2013 Dec 14.","Int J Surg.  2014","PubMed","citation","PMID:24342081","pubmed","24342081","create date:2013/12/18 | first author:Slotta JE",
"[Neoadjuvant chemotherapy or primary surgery for colorectal liver metastases. Pro primary surgery].","/pubmed/24337153","Heinrich S, Lang H.","Chirurg. 2014 Jan;85(1):17-23. doi: 10.1007/s00104-013-2565-1. Review. German. ","Chirurg.  2014","PubMed","citation","PMID:24337153","pubmed","24337153","create date:2013/12/18 | first author:Heinrich S",
"[Correlation analysis between abundance of K-ras mutation in plasma free DNA and its correlation with clinical outcome and prognosis in patients with metastatic colorectal cancer].","/pubmed/24332053","Bai YQ, Liu XJ, Wang Y, Ge FJ, Zhao CH, Fu YL, Lin L, Xu JM.","Zhonghua Zhong Liu Za Zhi. 2013 Sep;35(9):666-71. Chinese. ","Zhonghua Zhong Liu Za Zhi.  2013","PubMed","citation","PMID:24332053","pubmed","24332053","create date:2013/12/18 | first author:Bai YQ",
"Efficacy and safety of portal vein embolization for two-stage hepatectomy in patients with colorectal liver metastasis.","/pubmed/24315549","Huang SY, Aloia TA, Shindoh J, Ensor J, Shaw CM, Loyer EM, Vauthey JN, Wallace MJ.","J Vasc Interv Radiol. 2014 Apr;25(4):608-17. doi: 10.1016/j.jvir.2013.10.028. Epub 2013 Dec 5.","J Vasc Interv Radiol.  2014","PubMed","citation","PMID:24315549","pubmed","24315549","create date:2013/12/10 | first author:Huang SY",
"FDG-PET-CT is effective in selecting patients with poor long term survivals for colorectal liver metastases.","/pubmed/24290370","Yip VS, Poston GJ, Fenwick SW, Wieshmann H, Athwal T, Malik HZ.","Eur J Surg Oncol. 2014 Aug;40(8):995-9. doi: 10.1016/j.ejso.2013.10.026. Epub 2013 Nov 15.","Eur J Surg Oncol.  2014","PubMed","citation","PMID:24290370","pubmed","24290370","create date:2013/12/03 | first author:Yip VS",
"[Multiple primary malignancies in BRCA1 mutation carriers--two clinical cases].","/pubmed/24273914","Badora A, Kaleta B, Nowara E, Sikora-Jopek M, Budryk M, Smok-Ragankiewicz A.","Ginekol Pol. 2013 Oct;84(10):892-6. Polish. ","Ginekol Pol.  2013","PubMed","citation","PMID:24273914","pubmed","24273914","create date:2013/11/28 | first author:Badora A",
"Locally advanced gallbladder cancer: which patients benefit from resection?","/pubmed/24246608","Birnbaum DJ, Viganò L, Ferrero A, Langella S, Russolillo N, Capussotti L.","Eur J Surg Oncol. 2014 Aug;40(8):1008-15. doi: 10.1016/j.ejso.2013.10.014. Epub 2013 Nov 5.","Eur J Surg Oncol.  2014","PubMed","citation","PMID:24246608","pubmed","24246608","create date:2013/11/20 | first author:Birnbaum DJ",
"Treatment of extensive metastatic colorectal cancer to the liver with systemic and hepatic arterial infusion chemotherapy and two-stage hepatic resection: the role of salvage therapy for recurrent disease.","/pubmed/24242675","Cardona K, Donataccio D, Kingham TP, Allen PJ, DeMatteo RP, Fong Y, Jarnagin WR, Cercek A, Kemeny NE, D'Angelica MI.","Ann Surg Oncol. 2014 Mar;21(3):815-21. doi: 10.1245/s10434-013-3351-5. Epub 2013 Nov 18.","Ann Surg Oncol.  2014","PubMed","citation","PMID:24242675","pubmed","24242675","create date:2013/11/19 | first author:Cardona K",
"Portal vein embolization improves rate of resection of extensive colorectal liver metastases without worsening survival.","/pubmed/24227364","Shindoh J, Tzeng CW, Aloia TA, Curley SA, Zimmitti G, Wei SH, Huang SY, Gupta S, Wallace MJ, Vauthey JN.","Br J Surg. 2013 Dec;100(13):1777-83. doi: 10.1002/bjs.9317.","Br J Surg.  2013","PubMed","citation","PMID:24227364 | PMCID:PMC5527845","pubmed","24227364","create date:2013/11/15 | first author:Shindoh J",
"Liver resection in patients with hepatic hereditary hemorrhagic telangiectasia.","/pubmed/24217369","Gaujoux S, Bucau M, Ronot M, Paradis V, Vilgrain V, Belghiti J.","Dig Surg. 2013;30(4-6):410-4. doi: 10.1159/000351446. Epub 2013 Nov 5. Review.","Dig Surg.  2013","PubMed","citation","PMID:24217369","pubmed","24217369","create date:2013/11/13 | first author:Gaujoux S",
"Prognostic predictors and spread patterns in adult ovarian granulosa cell tumors: a multicenter long-term follow-up study of 108 patients.","/pubmed/24162502","Ertas IE, Gungorduk K, Taskin S, Akman L, Ozdemir A, Goklu R, Terek MC, Ozsaran A, Dikmen Y, Yildirim Y, Ortac F.","Int J Clin Oncol. 2014 Oct;19(5):912-20. doi: 10.1007/s10147-013-0630-x. Epub 2013 Oct 29.","Int J Clin Oncol.  2014","PubMed","citation","PMID:24162502","pubmed","24162502","create date:2013/10/29 | first author:Ertas IE",
"Liver transplantation in a patient with unresectable colorectal liver metastases -- a case report.","/pubmed/24157119","Hrehoreţ D, Alexandrescu S, Braşoveanu V, Grigorie R, Zielinski C, Popescu I.","Chirurgia (Bucur). 2013 Sep-Oct;108(5):719-24.","Chirurgia (Bucur).  2013","PubMed","citation","PMID:24157119","pubmed","24157119","create date:2013/10/26 | first author:Hrehoreţ D",
"[Surgical managements for bone metastases in tibia of 16 cases].","/pubmed/24136272","Huang L, Guo W, Yang RL, Yan TQ, Wei R.","Beijing Da Xue Xue Bao Yi Xue Ban. 2013 Oct 18;45(5):752-6. Chinese. ","Beijing Da Xue Xue Bao Yi Xue Ban.  2013","PubMed","citation","PMID:24136272","pubmed","24136272","create date:2013/10/19 | first author:Huang L",
"Postoperative 5-FU based radiochemotherapy in rectal cancer: retrospective long term results and prognostic factors of a pooled analysis on 1,338 patients.","/pubmed/24123031","Genovesi D, Myerson RJ, Cèfaro GA, Vinciguerra A, Augurio A, Trignani M, DI Tommaso M, Nuzzo M, Lupattelli M, Aristei C, Bellavita R, Scandolaro L, Cosentino D, Pani G, Ziccarelli L, Gambacorta MA, Barba MC, Maranzano E, Trippa F, Sciacero P, Niespolo R, Leonardi C, et al.","Anticancer Res. 2013 Oct;33(10):4557-66.","Anticancer Res.  2013","PubMed","citation","PMID:24123031","pubmed","24123031","create date:2013/10/15 | first author:Genovesi D",
"Increased C-reactive protein implies a poorer stage-specific prognosis in colon cancer.","/pubmed/24102179","Kersten C, Louhimo J, Ålgars A, Lahdesmaki A, Cvancerova M, Stenstedt K, Haglund C, Gunnarsson U.","Acta Oncol. 2013 Nov;52(8):1691-8. doi: 10.3109/0284186X.2013.835494.","Acta Oncol.  2013","PubMed","citation","PMID:24102179","pubmed","24102179","create date:2013/10/10 | first author:Kersten C",
"The management of the advanced colorectal cancer: management of the pulmonary metastases.","/pubmed/24102011","Zisis C, Tsakiridis K, Kougioumtzi I, Zarogoulidis P, Darwiche K, Machairiotis N, Zaric B, Katsikogiannis N, Kesisis G, Stylianaki A, Li Z, Zarogoulidis K.","J Thorac Dis. 2013 Sep;5 Suppl 4:S383-8. doi: 10.3978/j.issn.2072-1439.2013.06.23. Review.","J Thorac Dis.  2013","PubMed","citation","PMID:24102011 | PMCID:PMC3791498","pubmed","24102011","create date:2013/10/09 | first author:Zisis C",
"Flu-like symptoms following radiofrequency liver transection: a new variety of the post-radiofrequency syndrome.","/pubmed/24088180","Parra-Membrives P, Martínez-Baena D, Lorente-Herce JM.","J Invest Surg. 2014 Feb;27(1):7-13. doi: 10.3109/08941939.2013.826309. Epub 2013 Oct 2.","J Invest Surg.  2014","PubMed","citation","PMID:24088180","pubmed","24088180","create date:2013/10/04 | first author:Parra-Membrives P",
"Preoperative neutrophil/lymphocyte ratio predicts overall survival but does not predict recurrence or cancer-specific survival after curative resection of node-positive colorectal cancer.","/pubmed/24079717","Jankova L, Dent OF, Chan C, Chapuis P, Clarke SJ.","BMC Cancer. 2013 Oct 1;13:442. doi: 10.1186/1471-2407-13-442.","BMC Cancer.  2013","PubMed","citation","PMID:24079717 | PMCID:PMC3852978","pubmed","24079717","create date:2013/10/02 | first author:Jankova L",
"Clinical scenarios associated with local recurrence after laparoscopic radiofrequency thermal ablation of colorectal liver metastases.","/pubmed/24074411","Aksoy E, Aliyev S, Taskin HE, Birsen O, Mitchell J, Siperstein A, Berber E.","Surgery. 2013 Oct;154(4):748-52; discussion 752-4. doi: 10.1016/j.surg.2013.05.014.","Surgery.  2013","PubMed","citation","PMID:24074411","pubmed","24074411","create date:2013/10/01 | first author:Aksoy E",
"PEComa of the gastrointestinal tract: clinicopathologic study of 35 cases with evaluation of prognostic parameters.","/pubmed/24061520","Doyle LA, Hornick JL, Fletcher CD.","Am J Surg Pathol. 2013 Dec;37(12):1769-82. doi: 10.1097/PAS.0b013e31829caab3.","Am J Surg Pathol.  2013","PubMed","citation","PMID:24061520","pubmed","24061520","create date:2013/09/26 | first author:Doyle LA",
"Surgery for colorectal liver metastases.","/pubmed/24051581","McNally SJ, Parks RW.","Dig Surg. 2013;30(4-6):337-47. doi: 10.1159/000351442. Epub 2013 Sep 17. Review.","Dig Surg.  2013","PubMed","citation","PMID:24051581","pubmed","24051581","create date:2013/09/21 | first author:McNally SJ",
"Surgical management of disappearing colorectal liver metastases.","/pubmed/24037559","Bischof DA, Clary BM, Maithel SK, Pawlik TM.","Br J Surg. 2013 Oct;100(11):1414-20. doi: 10.1002/bjs.9213. Epub 2013 Aug 16. Review.","Br J Surg.  2013","PubMed","citation","PMID:24037559","pubmed","24037559","create date:2013/09/17 | first author:Bischof DA",
"Impact of chemotherapy with S-1 and oxaliplatin (SOX) in combination with molecular-targeting agents on colorectal liver metastases.","/pubmed/24023332","Watanabe K, Kawahara H, Enomoto H, Toyama Y, Akiba T, Yanaga K.","Anticancer Res. 2013 Sep;33(9):3941-6.","Anticancer Res.  2013","PubMed","citation","PMID:24023332","pubmed","24023332","create date:2013/09/12 | first author:Watanabe K",
"PET-CT after radiofrequency ablation of colorectal liver metastases: suggestions for timing and image interpretation.","/pubmed/24021269","Nielsen K, van Tilborg AA, Scheffer HJ, Meijerink MR, de Lange-de Klerk ES, Meijer S, Comans EF, van den Tol MP.","Eur J Radiol. 2013 Dec;82(12):2169-75. doi: 10.1016/j.ejrad.2013.08.024. Epub 2013 Aug 23.","Eur J Radiol.  2013","PubMed","citation","PMID:24021269","pubmed","24021269","create date:2013/09/12 | first author:Nielsen K",
"Modern chemotherapy mitigates adverse prognostic effect of regional nodal metastases in stage IV colorectal cancer.","/pubmed/24002765","Thomay AA, Nagorney DM, Cohen SJ, Sigurdson ER, Truty MJ, Burtness B, Hall MJ, Chun YS.","J Gastrointest Surg. 2014 Jan;18(1):69-74. doi: 10.1007/s11605-013-2329-8. Epub 2013 Sep 4.","J Gastrointest Surg.  2014","PubMed","citation","PMID:24002765","pubmed","24002765","create date:2013/09/05 | first author:Thomay AA",
"Maspin is a marker for early recurrence in primary stage III and IV colorectal cancer.","/pubmed/24002600","Snoeren N, Emmink BL, Koerkamp MJ, van Hooff SR, Goos JA, van Houdt WJ, de Wit M, Prins AM, Piersma SR, Pham TV, Belt EJ, Bril H, Stockmann HB, Meijer GA, van Hillegersberg R, Holstege FC, Jimenez CR, Fijneman RJ, Kranenburg OW, Rinkes IH.","Br J Cancer. 2013 Sep 17;109(6):1636-47. doi: 10.1038/bjc.2013.489. Epub 2013 Sep 3.","Br J Cancer.  2013","PubMed","citation","PMID:24002600 | PMCID:PMC3776998","pubmed","24002600","create date:2013/09/05 | first author:Snoeren N",
